date,publish_date,equity_pcr,equity_pcr_pctl,is_proxy,source
2021-04-12,2021-04-12,0.6536,0.79,True,vix_derived_proxy
2021-04-13,2021-04-13,0.6497,0.4,True,vix_derived_proxy
2021-04-14,2021-04-14,0.6548,1.98,True,vix_derived_proxy
2021-04-15,2021-04-15,0.6485,0.4,True,vix_derived_proxy
2021-04-16,2021-04-16,0.6438,0.4,True,vix_derived_proxy
2021-04-19,2021-04-19,0.6594,3.57,True,vix_derived_proxy
2021-04-20,2021-04-20,0.6802,5.16,True,vix_derived_proxy
2021-04-21,2021-04-21,0.6625,4.37,True,vix_derived_proxy
2021-04-22,2021-04-22,0.6806,5.95,True,vix_derived_proxy
2021-04-23,2021-04-23,0.6599,4.17,True,vix_derived_proxy
2021-04-26,2021-04-26,0.6646,5.16,True,vix_derived_proxy
2021-04-27,2021-04-27,0.6634,5.16,True,vix_derived_proxy
2021-04-28,2021-04-28,0.6592,3.57,True,vix_derived_proxy
2021-04-29,2021-04-29,0.6642,5.95,True,vix_derived_proxy
2021-04-30,2021-04-30,0.6792,7.54,True,vix_derived_proxy
2021-05-03,2021-05-03,0.6746,7.54,True,vix_derived_proxy
2021-05-04,2021-05-04,0.6922,10.71,True,vix_derived_proxy
2021-05-05,2021-05-05,0.6872,9.92,True,vix_derived_proxy
2021-05-06,2021-05-06,0.6758,7.94,True,vix_derived_proxy
2021-05-07,2021-05-07,0.6504,1.79,True,vix_derived_proxy
2021-05-10,2021-05-10,0.6949,12.7,True,vix_derived_proxy
2021-05-11,2021-05-11,0.7276,27.38,True,vix_derived_proxy
2021-05-12,2021-05-12,0.8139,73.41,True,vix_derived_proxy
2021-05-13,2021-05-13,0.7469,42.46,True,vix_derived_proxy
2021-05-14,2021-05-14,0.6821,9.92,True,vix_derived_proxy
2021-05-17,2021-05-17,0.6958,13.49,True,vix_derived_proxy
2021-05-18,2021-05-18,0.7201,22.82,True,vix_derived_proxy
2021-05-19,2021-05-19,0.7327,32.54,True,vix_derived_proxy
2021-05-20,2021-05-20,0.7101,16.27,True,vix_derived_proxy
2021-05-21,2021-05-21,0.7022,15.48,True,vix_derived_proxy
2021-05-24,2021-05-24,0.676,8.73,True,vix_derived_proxy
2021-05-25,2021-05-25,0.6826,10.71,True,vix_derived_proxy
2021-05-26,2021-05-26,0.6604,5.56,True,vix_derived_proxy
2021-05-27,2021-05-27,0.6511,2.38,True,vix_derived_proxy
2021-05-28,2021-05-28,0.6514,2.78,True,vix_derived_proxy
2021-06-01,2021-06-01,0.6685,8.33,True,vix_derived_proxy
2021-06-02,2021-06-02,0.6622,6.75,True,vix_derived_proxy
2021-06-03,2021-06-03,0.6706,9.52,True,vix_derived_proxy
2021-06-04,2021-06-04,0.6463,0.79,True,vix_derived_proxy
2021-06-07,2021-06-07,0.6463,0.99,True,vix_derived_proxy
2021-06-08,2021-06-08,0.656,5.16,True,vix_derived_proxy
2021-06-09,2021-06-09,0.6683,9.92,True,vix_derived_proxy
2021-06-10,2021-06-10,0.6415,0.4,True,vix_derived_proxy
2021-06-11,2021-06-11,0.6347,0.4,True,vix_derived_proxy
2021-06-14,2021-06-14,0.6458,1.59,True,vix_derived_proxy
2021-06-15,2021-06-15,0.6553,6.35,True,vix_derived_proxy
2021-06-16,2021-06-16,0.6722,13.49,True,vix_derived_proxy
2021-06-17,2021-06-17,0.6662,11.51,True,vix_derived_proxy
2021-06-18,2021-06-18,0.7105,25.0,True,vix_derived_proxy
2021-06-21,2021-06-21,0.6683,12.1,True,vix_derived_proxy
2021-06-22,2021-06-22,0.6499,3.57,True,vix_derived_proxy
2021-06-23,2021-06-23,0.6448,1.59,True,vix_derived_proxy
2021-06-24,2021-06-24,0.6396,0.79,True,vix_derived_proxy
2021-06-25,2021-06-25,0.6343,0.4,True,vix_derived_proxy
2021-06-28,2021-06-28,0.6364,1.19,True,vix_derived_proxy
2021-06-29,2021-06-29,0.6403,1.98,True,vix_derived_proxy
2021-06-30,2021-06-30,0.6374,1.59,True,vix_derived_proxy
2021-07-01,2021-07-01,0.6322,0.4,True,vix_derived_proxy
2021-07-02,2021-07-02,0.626,0.4,True,vix_derived_proxy
2021-07-06,2021-07-06,0.6466,5.95,True,vix_derived_proxy
2021-07-07,2021-07-07,0.643,3.97,True,vix_derived_proxy
2021-07-08,2021-07-08,0.685,23.02,True,vix_derived_proxy
2021-07-09,2021-07-09,0.6427,3.97,True,vix_derived_proxy
2021-07-12,2021-07-12,0.6426,3.97,True,vix_derived_proxy
2021-07-13,2021-07-13,0.6568,12.3,True,vix_derived_proxy
2021-07-14,2021-07-14,0.6449,5.95,True,vix_derived_proxy
2021-07-15,2021-07-15,0.6552,11.9,True,vix_derived_proxy
2021-07-16,2021-07-16,0.6768,22.22,True,vix_derived_proxy
2021-07-19,2021-07-19,0.7375,52.18,True,vix_derived_proxy
2021-07-20,2021-07-20,0.6959,28.57,True,vix_derived_proxy
2021-07-21,2021-07-21,0.6686,19.64,True,vix_derived_proxy
2021-07-22,2021-07-22,0.6654,17.86,True,vix_derived_proxy
2021-07-23,2021-07-23,0.658,13.89,True,vix_derived_proxy
2021-07-26,2021-07-26,0.6637,17.46,True,vix_derived_proxy
2021-07-27,2021-07-27,0.6904,28.17,True,vix_derived_proxy
2021-07-28,2021-07-28,0.6746,22.82,True,vix_derived_proxy
2021-07-29,2021-07-29,0.6655,19.05,True,vix_derived_proxy
2021-07-30,2021-07-30,0.6736,23.02,True,vix_derived_proxy
2021-08-02,2021-08-02,0.6919,30.16,True,vix_derived_proxy
2021-08-03,2021-08-03,0.6706,22.02,True,vix_derived_proxy
2021-08-04,2021-08-04,0.6695,21.83,True,vix_derived_proxy
2021-08-05,2021-08-05,0.6592,14.48,True,vix_derived_proxy
2021-08-06,2021-08-06,0.6422,3.97,True,vix_derived_proxy
2021-08-09,2021-08-09,0.6508,10.32,True,vix_derived_proxy
2021-08-10,2021-08-10,0.6519,11.51,True,vix_derived_proxy
2021-08-11,2021-08-11,0.6426,4.56,True,vix_derived_proxy
2021-08-12,2021-08-12,0.6339,1.19,True,vix_derived_proxy
2021-08-13,2021-08-13,0.6317,0.79,True,vix_derived_proxy
2021-08-16,2021-08-16,0.6418,4.76,True,vix_derived_proxy
