date,flow_in_ex_mcap_z90,flow_net_ex_mcap_z90,flow_in_ex_mcap,flow_net_ex_mcap,CapMVRVCur,CapMrktCurUSD
2020-07-15,-0.404983976553417,0.27182770050908467,0.0017149172026976287,0.00010433170368765342,1.58381858,170695336818.95126
2020-07-16,-0.14660465144135215,-0.15516208893704034,0.0020078776957124806,-8.020983544809417e-05,1.57234112,169530356543.2783
2020-07-17,-0.24984763030847185,0.07801901020746659,0.0018738549058787291,1.2418950723110007e-05,1.56130786,168355901495.54816
2020-07-20,-1.0986945423879593,-0.29699818724002847,0.0009305228075917679,-0.00015079274909813353,1.57544863,169967724887.16434
2020-07-21,-0.3031668488012015,0.7306556476684636,0.0017940977320381637,0.00028440726682639505,1.56656719,169023500679.14856
2020-07-22,-0.3674229054365392,0.24624791788162437,0.0017459513327778588,3.224591713781808e-05,1.6036542,173112681691.1186
2020-07-23,0.4998164703516541,1.718692192600289,0.0024535291495894345,0.0005404980711691981,1.62670582,175752143889.948
2020-07-24,0.6760746623216743,-0.14020052760660906,0.0025181794770092044,-8.84782917478513e-05,1.6387837,177196924217.30652
2020-07-27,-0.4202905520448092,1.2539456873735193,0.0016937143769172533,0.0003889679538386495,1.69125357,183213878780.3678
2020-07-28,2.7239872032709473,3.1666310892853016,0.00402062470515675,0.0010625458782078762,1.87222939,203744198144.59204
2020-07-29,1.8273117647208257,1.6767013336616172,0.0033668648301399527,0.0005669456677694699,1.84950049,201874736728.9706
2020-07-30,0.6572634665921948,0.26142051010345635,0.002510748700931072,8.902821687551425e-05,1.87484925,205042054834.9217
2020-07-31,0.8093373956806839,-0.4038887735725797,0.0026261481264063975,-0.0001336745406369146,1.87475515,205413351537.44217
2020-08-03,-0.4502333621255971,0.739087511454619,0.001686671175932961,0.0002560399911986648,1.8599879,204680087352.34372
2020-08-04,0.3459085265043079,-0.5861589672018366,0.002281383176937834,-0.00017251444777702937,1.87772343,207312688746.43088
2020-08-05,-0.40649497127826506,-1.5691803079441948,0.0017198138226241228,-0.0005048673723027874,1.87038652,206705783553.83923
2020-08-06,-0.17271027271279957,-0.1579003067447315,0.0018950096263402447,-4.6548866951455085e-05,1.95126913,216287626623.5641
2020-08-07,0.534580643383868,0.5752959380739945,0.0024204461651081395,0.00019418407297390898,1.95155359,217182425567.12643
2020-08-10,-1.2845761455749196,-0.7312628835762797,0.0010564880593970738,-0.00022895828338320736,1.92470744,215576777624.0283
2020-08-11,0.5268221453561888,-0.8985037247091519,0.0024172050451656333,-0.0002842589267809232,1.95320633,219090872112.69235
2020-08-12,0.1340421405814919,-0.2649531927474816,0.002119939132992758,-8.118071183934808e-05,1.87194792,210284480461.03635
2020-08-13,-0.22668660813898467,-0.6124793310293132,0.0018646087053313,-0.00019398023748268308,1.89982911,213671208433.45825
2020-08-14,-0.32075547261230286,-2.0099437374687756,0.0017839552704462323,-0.0006709627722867645,1.92924287,217335699187.2392
2020-08-17,-1.3168370897438841,-0.8248722104035757,0.001033655831486173,-0.0002819102696423513,1.94366153,219700556192.07544
2020-08-18,1.5967544240106102,-0.3392861190009518,0.0032121699577619773,-0.0001197627448879293,2.00437877,227392906120.48352
2020-08-19,0.5837561682316953,-0.003246011218271326,0.0024675766422857202,-8.465892885408244e-06,1.95013602,221438441189.45932
2020-08-20,0.8564987690858862,-1.7000954583068226,0.0026823307853243673,-0.0005760742389639629,1.90751141,216724493356.56393
2020-08-21,0.07733732570063513,0.5025068911686555,0.002109031026773806,0.00016286972739909753,1.92666487,219148207449.64777
2020-08-24,-1.8106978238051472,-0.16483509864672383,0.0006691501479579458,-6.32744729167659e-05,1.89095764,215452337487.74313
2020-08-25,-0.5807441258074311,-0.3579410474664821,0.001578493471797701,-0.00013370792868312397,1.90603293,217417299095.42203
2020-08-26,-0.40593564252905295,-1.5090988427801622,0.0017195202040343725,-0.0005242447881470585,1.83853818,209799151719.14304
2020-08-27,-0.004221951992215626,-0.208569545680375,0.0020127321358702874,-8.98855357385071e-05,1.8556766,211907514133.8888
2020-08-28,-0.06590571197709107,0.6749497643142983,0.0019657982862784874,0.00020607888532814372,1.82960462,209009655884.56293
2020-08-31,-1.1435397133135097,0.8490963447369658,0.0011676150459016812,0.0002702407634587671,1.88762446,216140533746.53055
2020-09-01,0.2303629282255325,-4.865308783017313,0.002172807954652844,-0.0018715849967898194,1.88187726,215770383728.23535
2020-09-02,0.6676194754518898,0.8655806872680931,0.0025057392699938978,0.00029106595097543026,1.92471346,221177235000.2752
2020-09-03,1.1533652061886368,-1.0317540436167345,0.0028731304945235916,-0.0004343997271285446,1.83478767,210917142600.07455
2020-09-04,1.6427320640396743,0.5859807981094055,0.0032638771682336233,0.0001850935995283928,1.65212902,189619829718.60855
2020-09-08,-0.020452248716474695,0.13800436516659856,0.002006486671796621,1.3915455812038262e-05,1.67005527,191624618868.97644
2020-09-09,0.02382379238356944,-0.7045463375493868,0.0020219320180184627,-0.00031098425474735455,1.62894233,186842946951.56564
2020-09-10,0.017493728926980954,-0.32174482216729505,0.0020245431517412972,-0.00016943921424352712,1.64757745,188968383425.9782
2020-09-11,-0.08821090769457986,-1.3782995259254283,0.0019499100272658294,-0.0005767527431825388,1.66531058,191039959916.7766
2020-09-14,-1.554265431301117,0.04767073189187857,0.0008866849983153115,-3.4593571453623813e-05,1.66341746,190846477252.03787
2020-09-15,0.13108090420050444,0.06673075483112038,0.0020959421548580096,-2.7955986726835394e-05,1.71735678,197147876035.17255
2020-09-16,0.00939091619057089,-0.4347256320977144,0.001991521820661562,-0.00022578462640648178,1.7348274,199315386280.44415
2020-09-17,0.5260637730831947,-0.10773193340271886,0.0023582781955901596,-0.00010312324781724167,1.76292263,202819584769.55255
2020-09-18,0.1413630003733531,-0.7746007993291915,0.0020794093616278947,-0.000349254139895112,1.75667708,202239512659.74203
2020-09-21,-1.246823251297348,0.4573805420740787,0.0010987009932861352,0.00011525434991192614,1.75066035,201991869981.6736
2020-09-22,0.2804592596516865,0.17194784845963915,0.002162933444033247,1.399455729911594e-05,1.67690819,193385500705.58487
2020-09-23,0.49894975486339044,0.20633487835718592,0.002313422283577394,2.2524967230202642e-05,1.68568673,194586236941.46976
2020-09-24,2.162769734249116,-1.1236440648454686,0.0035254577996552162,-0.0004673035966443094,1.64062817,189295175073.38928
2020-09-25,0.0714607792497925,0.5411817758893004,0.002038669751270128,0.00013871228412985,1.72053475,198659587209.19556
2020-09-28,-1.2986062970032182,-0.37986073907521434,0.0010520532916520194,-0.00019590544027483668,1.72167524,199057194328.15533
